S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
1.0,0.04502660663119116,0.08002455996725338,0.08288988948014736,0.1991404011461318,0.2472370036839951,0.1721244371674171,0.5726565697912402,0.4273434302087597,48005001001,48,005,001001
1.0,0.047630860828578515,0.06747705284048623,0.1366906474820144,0.16050607789630364,0.16993301910195982,0.17638303150582982,0.5219548499131729,0.4780451500868271,48005001002,48,005,001002
1.0,0.05002977963073258,0.06551518761167362,0.12150089338892198,0.1785288862418106,0.2254318046456224,0.17480643240023824,0.4791542584871948,0.5208457415128053,48005001100,48,005,001100
1.0,0.05291666666666667,0.05708333333333333,0.08541666666666667,0.18041666666666667,0.23958333333333334,0.20666666666666667,0.4791666666666667,0.5208333333333334,48005001200,48,005,001200
1.0,0.01688825008983112,0.08282429033417175,0.12971613366870283,0.15648580668343515,0.22134387351778656,0.16888250089831117,0.44574200503054257,0.5542579949694574,48005001300,48,005,001300
1.0,0.016501031314457154,0.05981623851490718,0.0886930433152072,0.136321020063754,0.1895743483967748,0.3924620288768048,0.41346334145884117,0.5865366585411588,48007950100,48,007,950100
1.0,0.03686635944700461,0.0663594470046083,0.03870967741935484,0.10138248847926268,0.2626728110599078,0.42764976958525347,0.5336405529953917,0.4663594470046083,48007950200,48,007,950200
1.0,0.038694393261384574,0.11252961305606739,0.07923137667807317,0.15359305080284286,0.22084759147143984,0.27625690971308237,0.5173729928928665,0.48262700710713347,48007950300,48,007,950300
1.0,0.05291930898753554,0.07172534441285808,0.08025366280341133,0.16991034331948393,0.22545375027334355,0.14694948611414826,0.45987316859829436,0.5401268314017057,48007950400,48,007,950400
1.0,0.04086497531074408,0.07168397752426357,0.0788353482036438,0.13264089902945683,0.28179805891367277,0.23548442022816277,0.5254554742039843,0.4745445257960157,48007950500,48,007,950500
1.0,0.038448451854372234,0.04627424293977543,0.11364409663150732,0.17727118067369854,0.26131337189520243,0.19802653963933312,0.511058183055461,0.488941816944539,48009020100,48,009,020100
1.0,0.037882049074472665,0.10460611278519157,0.08437365475678002,0.14894532931554025,0.26043908738699956,0.21007318123116658,0.4954799827808868,0.5045200172191132,48009020200,48,009,020200
1.0,0.055298204979733645,0.08859293572669369,0.10364794441227562,0.19803126809496235,0.18037058482918356,0.18297625940938042,0.49044585987261147,0.5095541401273885,48009020300,48,009,020300
1.0,0.04257475924987329,0.059300557526609225,0.08667004561581348,0.20070957932083122,0.20679168778509882,0.21540800810947794,0.49771920932589964,0.5022807906741004,48011950100,48,011,950100
1.0,0.03063912380424234,0.08248994870372937,0.1220019409399695,0.13655899071121586,0.2128102037986968,0.18369610425620408,0.47955081103563013,0.5204491889643699,48013960100,48,013,960100
1.0,0.043134043134043135,0.10974610974610975,0.12162162162162163,0.2082992082992083,0.19150969150969152,0.11493311493311494,0.4726999726999727,0.5273000273000273,48013960201,48,013,960201
1.0,0.062403767774658093,0.0940132234399058,0.11348609727379766,0.20967303686260302,0.16493071279775381,0.1218186758445793,0.5472330404854633,0.4527669595145367,48013960202,48,013,960202
