S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
4004,182,303,632,775,533,643,2059,1945,48029121506,48,029,121506
4531,93,428,788,867,726,824,2081,2450,48029121507,48,029,121507
4563,160,554,538,769,855,466,2191,2372,48029121508,48,029,121508
5657,240,593,902,1181,801,602,2914,2743,48029121601,48,029,121601
9259,387,718,1591,1732,1760,827,4700,4559,48029121604,48,029,121604
2027,22,143,276,383,368,418,831,1196,48029121605,48,029,121605
5015,98,605,873,998,749,689,2471,2544,48029121606,48,029,121606
4679,145,449,908,576,697,904,2222,2457,48029121701,48,029,121701
7880,292,370,1044,1471,1429,1178,3849,4031,48029121702,48,029,121702
8497,327,772,1265,2223,1252,738,4290,4207,48029121802,48,029,121802
4994,310,481,538,1338,602,749,2554,2440,48029121803,48,029,121803
7217,395,604,1372,1137,1000,709,3576,3641,48029121804,48,029,121804
3343,125,194,534,624,722,633,1666,1677,48029121808,48,029,121808
5117,183,363,630,1106,1121,721,2704,2413,48029121809,48,029,121809
4891,160,404,560,1078,1147,451,2293,2598,48029121810,48,029,121810
5616,226,587,777,1593,749,363,2645,2971,48029121811,48,029,121811
6881,284,518,1088,1209,1242,827,3379,3502,48029121812,48,029,121812
1738,68,177,255,336,311,290,797,941,48029121813,48,029,121813
5883,352,427,724,1205,1492,796,2843,3040,48029121903,48,029,121903
3176,237,189,315,809,598,298,1522,1654,48029121904,48,029,121904
5438,400,352,775,1571,925,592,2711,2727,48029121905,48,029,121905
5583,183,432,742,1512,975,648,2952,2631,48029121906,48,029,121906
13024,785,977,1905,3736,1293,903,6284,6740,48029121907,48,029,121907
2709,98,171,297,607,545,368,1259,1450,48029121908,48,029,121908
8331,239,704,1836,2170,941,609,3926,4405,48029121909,48,029,121909
7385,365,398,977,1923,947,880,3622,3763,48029121910,48,029,121910
1623,35,115,328,306,335,160,737,886,48029130200,48,029,130200
3360,56,360,521,403,683,393,1524,1836,48029130300,48,029,130300
4081,279,503,315,885,852,417,2241,1840,48029130401,48,029,130401
4197,327,338,620,526,737,376,1931,2266,48029130402,48,029,130402
4806,229,349,639,1117,717,331,2268,2538,48029130500,48,029,130500
3878,199,307,655,669,862,417,2035,1843,48029130600,48,029,130600
2636,99,127,487,359,441,278,1265,1371,48029130700,48,029,130700
6068,364,669,867,1173,894,545,2683,3385,48029130800,48,029,130800
5246,191,462,961,896,614,524,2202,3044,48029130900,48,029,130900
5206,212,488,584,774,1092,880,2198,3008,48029131000,48,029,131000
2651,215,272,360,474,510,321,1193,1458,48029131100,48,029,131100
2806,172,320,350,506,536,435,1305,1501,48029131200,48,029,131200
6156,240,318,785,921,1041,1518,2862,3294,48029131300,48,029,131300
11090,650,738,1916,2037,1828,911,5213,5877,48029131401,48,029,131401
3023,121,174,558,537,568,372,1648,1375,48029131402,48,029,131402
3119,173,238,468,492,645,557,1399,1720,48029131503,48,029,131503
4824,218,510,581,894,771,708,2176,2648,48029131504,48,029,131504
5790,347,517,961,1165,951,343,2666,3124,48029131505,48,029,131505
3859,264,402,694,731,640,255,1809,2050,48029131506,48,029,131506
6326,178,587,1145,1154,918,546,3149,3177,48029131507,48,029,131507
5645,219,574,655,1339,867,354,2783,2862,48029131601,48,029,131601
6056,330,600,825,1208,1108,383,2998,3058,48029131606,48,029,131606
5928,324,405,872,1426,828,393,2853,3075,48029131608,48,029,131608
6725,384,558,1164,1204,1231,700,3178,3547,48029131609,48,029,131609
5029,268,544,653,1167,602,309,2513,2516,48029131610,48,029,131610
873,71,21,51,219,236,165,459,414,48029131611,48,029,131611
1940,101,138,258,484,262,109,912,1028,48029131612,48,029,131612
4066,201,338,591,810,624,572,1886,2180,48029131613,48,029,131613
4009,185,467,704,902,552,157,1829,2180,48029131614,48,029,131614
7458,346,749,1113,1905,1324,753,3470,3988,48029131615,48,029,131615
1129,59,117,106,326,55,20,605,524,48029131700,48,029,131700
2116,94,169,167,383,559,376,1048,1068,48029131801,48,029,131801
4327,229,326,640,566,1072,797,2095,2232,48029131802,48,029,131802
1261,19,137,206,201,303,183,695,566,48029140100,48,029,140100
3377,126,141,511,934,552,409,1815,1562,48029140200,48,029,140200
3590,201,283,417,894,599,452,1779,1811,48029140300,48,029,140300
3631,80,467,279,1104,514,569,1587,2044,48029140400,48,029,140400
4234,86,352,765,668,891,718,1899,2335,48029140500,48,029,140500
2861,121,263,540,489,435,371,1426,1435,48029140600,48,029,140600
4838,316,353,679,886,1084,760,2547,2291,48029140700,48,029,140700
5124,99,537,955,970,1184,490,2445,2679,48029140800,48,029,140800
1949,30,127,346,343,401,279,882,1067,48029140900,48,029,140900
3531,240,330,501,793,628,345,1881,1650,48029141000,48,029,141000
4194,145,310,733,537,745,557,2073,2121,48029141101,48,029,141101
3319,170,238,694,591,543,368,1590,1729,48029141102,48,029,141102
7628,314,427,1301,1205,1282,1012,4123,3505,48029141200,48,029,141200
6851,281,594,890,1409,1308,851,3388,3463,48029141300,48,029,141300
5986,293,662,988,1402,920,357,3027,2959,48029141402,48,029,141402
4803,230,703,822,917,450,568,2438,2365,48029141403,48,029,141403
5953,152,615,836,1160,1147,797,2921,3032,48029141404,48,029,141404
4889,314,607,653,1137,758,275,2604,2285,48029141600,48,029,141600
5811,333,573,1049,1086,855,478,2884,2927,48029141700,48,029,141700
3880,179,265,649,538,833,515,1968,1912,48029141800,48,029,141800
4510,152,442,546,873,1013,792,2081,2429,48029141900,48,029,141900
5588,220,597,1016,1117,1005,673,2866,2722,48029150100,48,029,150100
4845,148,509,714,918,858,595,2381,2464,48029150300,48,029,150300
4946,191,496,651,935,757,678,2133,2813,48029150400,48,029,150400
4595,153,403,781,728,738,606,2266,2329,48029150501,48,029,150501
3595,166,380,669,609,688,487,1929,1666,48029150502,48,029,150502
4959,398,580,609,936,793,484,2390,2569,48029150600,48,029,150600
7360,547,795,1122,1801,822,930,3601,3759,48029150700,48,029,150700
2763,138,218,418,346,467,374,1283,1480,48029150800,48,029,150800
6956,338,517,936,1277,1354,823,3203,3753,48029150900,48,029,150900
4003,248,342,400,899,664,573,1927,2076,48029151000,48,029,151000
8115,310,807,886,1578,1550,1057,4539,3576,48029151100,48,029,151100
11162,391,609,2047,2011,2217,1541,5446,5716,48029151200,48,029,151200
5947,277,530,980,1106,998,702,2900,3047,48029151301,48,029,151301
3744,112,358,484,652,558,407,1867,1877,48029151302,48,029,151302
5501,182,651,1053,888,907,686,3115,2386,48029151400,48,029,151400
2625,125,313,317,475,511,343,1412,1213,48029151500,48,029,151500
8616,408,846,1395,1283,1490,1161,4605,4011,48029151600,48,029,151600
7506,406,681,1315,1477,1272,816,3315,4191,48029151700,48,029,151700
7312,437,930,1257,1399,922,412,3419,3893,48029151900,48,029,151900
3160,181,394,620,620,242,161,1645,1515,48029152000,48,029,152000
4885,369,460,797,821,1043,444,2520,2365,48029152100,48,029,152100
7136,566,821,764,1453,918,738,3641,3495,48029152201,48,029,152201
5529,137,542,1061,973,1052,425,2682,2847,48029152202,48,029,152202
7160,142,690,1069,1269,971,638,3518,3642,48029160100,48,029,160100
3327,151,324,696,547,555,440,1488,1839,48029160200,48,029,160200
5471,165,551,865,802,1057,739,2669,2802,48029160300,48,029,160300
5339,218,485,705,1308,896,691,2625,2714,48029160400,48,029,160400
4455,173,339,462,987,291,391,2289,2166,48029160501,48,029,160501
4572,159,376,578,699,775,679,2300,2272,48029160502,48,029,160502
5287,218,411,881,916,804,626,2516,2771,48029160600,48,029,160600
3831,239,332,463,715,672,560,1885,1946,48029160701,48,029,160701
5544,296,445,687,1119,1143,701,2554,2990,48029160702,48,029,160702
2620,139,319,349,447,553,397,1256,1364,48029160901,48,029,160901
5334,336,604,590,969,925,605,2738,2596,48029160902,48,029,160902
4101,217,366,790,631,657,485,1808,2293,48029161000,48,029,161000
9720,451,1273,1387,2023,1616,1162,4986,4734,48029161100,48,029,161100
2939,197,312,435,485,454,241,1402,1537,48029161200,48,029,161200
6129,489,900,791,1123,835,378,2923,3206,48029161302,48,029,161302
4505,244,469,785,817,597,410,2271,2234,48029161303,48,029,161303
4639,286,595,452,1034,570,431,2318,2321,48029161304,48,029,161304
6490,151,4154,791,559,3,4,4242,2248,48029161400,48,029,161400
8236,394,1114,1252,1333,1204,837,4138,4098,48029161501,48,029,161501
5401,289,795,649,952,840,472,2688,2713,48029161503,48,029,161503
4401,154,444,718,901,619,414,2260,2141,48029161504,48,029,161504
4880,281,547,738,876,657,476,2370,2510,48029161600,48,029,161600
